,Dissimilarity a,Correlation a,Energy a,Contrast a,Homogeneity a,Dissimilarity b,Correlation b,Energy b,Contrast b,Homogeneity b,red 1/4 a,red 2/4 a,red 3/4 a,red 4/4 a,green 1/4 a,green 2/4 a,green 3/4 a,green 4/4 a,blue 1/4 a,blue 2/4 a,blue 3/4 a,blue 4/4 a,red 1/4 b,red 2/4 b,red 3/4 b,red 4/4 b,green 1/4 b,green 2/4 b,green 3/4 b,green 4/4 b,blue 1/4 b,blue 2/4 b,blue 3/4 b,blue 4/4 b
0,8.016666666666667,0.6347366077868124,0.04322602900259672,102.2125,0.11899530985790506,7.146875,0.40970674302578197,0.053784711014273276,86.00520833333334,0.1409834465067401,0,39,980,0,10,1001,8,0,517,470,0,0,0,0,1020,2,1,1015,6,0,255,723,0,0
1,5.755208333333334,0.41720056106437636,0.05807233276985981,57.67395833333333,0.1772625033561818,8.257291666666667,0.5844733839530915,0.04431676538788051,123.84687499999997,0.1334338454597724,0,1,1023,0,0,1022,2,0,163,833,0,0,0,88,925,0,25,997,1,0,503,488,0,0
2,7.078125,0.6491295855246398,0.049913118961295584,94.03437500000001,0.1529716270128934,8.547916666666667,0.4233332253074736,0.048142583367880604,130.75,0.12397524886548364,0,34,979,4,9,996,14,0,420,565,0,0,0,28,991,1,6,1010,3,0,529,452,0,0
3,7.497916666666667,0.4262133316246075,0.048210151939192224,93.54583333333332,0.12936925019138057,7.50625,0.37559808447218834,0.050043383956101306,96.32916666666667,0.13331750582553725,0,6,1010,6,1,1011,11,0,480,484,0,0,0,15,1007,0,6,1018,0,0,715,265,0,0
4,5.880208333333333,0.456020758632717,0.058109690337422304,57.44895833333333,0.15596789459490001,6.018750000000001,0.7516428997948101,0.04885849749816073,64.67916666666667,0.17330748271969848,0,0,1024,0,0,1023,0,0,93,911,0,0,0,3,947,55,1,820,156,0,113,902,0,0
5,6.736458333333334,0.62270395788033,0.04639803635691685,72.87812500000001,0.13614449991910182,7.012500000000001,0.6795920375534245,0.04453657984673323,84.83125000000001,0.1401275486030886,0,5,1019,0,0,1021,2,0,352,640,0,0,0,3,1016,3,2,987,26,0,193,800,0,0
6,7.745833333333334,0.6402666738492667,0.04355113533409765,109.62916666666666,0.13523682262357073,5.638541666666667,0.625777960369669,0.05293060839963542,55.034375000000004,0.1726876353927568,0,125,884,0,29,986,1,0,773,219,0,0,0,0,1015,7,0,984,31,0,62,944,0,0
7,10.49375,0.6723579217296827,0.038611985401772166,193.36041666666665,0.09464168316309718,8.123958333333334,0.486457595436508,0.0461635829295007,116.88020833333333,0.12572316201992154,0,194,799,6,57,924,25,0,688,309,0,0,0,11,1009,2,1,1008,9,0,288,693,0,0
8,8.964583333333334,0.5196936521669133,0.04372519137878199,155.79166666666669,0.11125023911499361,8.397916666666667,0.5209896796754714,0.044972985718589376,125.67916666666666,0.12675407293662147,0,50,966,2,17,991,12,0,568,421,0,0,0,8,998,15,0,998,24,0,342,646,0,0
9,7.059375,0.4854096257932223,0.04901370981674413,83.753125,0.14541040489237386,8.730208333333334,0.3681511092127344,0.04497298571858938,126.78645833333333,0.11160566765002541,0,19,996,0,4,1020,0,0,755,235,0,0,0,21,993,1,0,1020,1,0,508,470,0,0
10,6.409375000000001,0.5146109705762292,0.04941058844013093,68.75104166666667,0.1534084493897825,5.647916666666667,0.3699304655714955,0.056423344016461846,52.52083333333333,0.16016783887382946,0,0,1024,0,0,1022,1,0,200,795,0,0,0,0,957,45,0,764,216,0,6,1015,0,0
11,6.447916666666667,0.7090408016796947,0.04695594862326935,70.20625,0.1433838129542097,5.853125,0.561306876625171,0.05366352863496358,55.17395833333333,0.15358243258985602,0,20,1001,0,8,1016,0,0,503,475,0,0,0,0,971,36,0,843,145,0,41,979,0,0
12,6.492708333333333,0.7129541383382789,0.04697905118241534,71.04895833333333,0.15588291277441388,5.897916666666667,0.4732609690169128,0.05323721807991933,56.83958333333332,0.16179908507308977,0,1,1013,8,1,1014,5,0,279,717,0,0,0,0,937,63,0,753,226,0,8,1013,0,0
13,7.035416666666667,0.7616465977506663,0.04267020655888342,94.32916666666665,0.15347488246103563,6.3447916666666675,0.5620486264336843,0.05189549461283813,71.04895833333333,0.15964243402684986,0,23,996,0,1,1016,4,0,386,611,0,0,0,0,997,22,0,953,59,0,51,966,0,0
14,5.964583333333334,0.6783462563032966,0.04919049563798998,59.262499999999996,0.15705797386381654,6.278125000000001,0.698310380396928,0.045738538333541974,65.571875,0.15201638643839005,0,0,956,52,0,909,90,0,67,947,0,0,0,1,950,57,0,904,98,0,99,910,0,0
15,7.111458333333333,0.5929974220458278,0.046234043794108635,87.271875,0.1387307257079546,7.80625,0.547634263468314,0.04465823147963754,101.50625,0.12246209716569535,0,12,1009,1,2,1019,2,0,404,579,0,0,0,18,1003,0,0,1023,1,0,325,666,0,0
16,6.319791666666667,0.7322798433681509,0.04554835647724051,65.98229166666667,0.15236564590809415,5.581250000000001,0.5625116749705991,0.05158091001308311,53.16250000000001,0.1754570414454859,0,0,885,122,0,830,159,0,110,898,0,0,0,0,778,208,0,453,524,0,2,1022,0,0
17,6.014583333333333,0.69248126765428,0.04894725051862805,64.52499999999999,0.14862796369938913,5.2875,0.5796130450433842,0.05430670999057115,45.82708333333334,0.17100973033963618,0,0,300,691,0,243,756,0,8,1012,1,0,0,0,406,573,0,127,870,0,1,1023,0,0
18,6.5166666666666675,0.5711058618315354,0.04827762594273528,72.52708333333334,0.1445746778201986,5.560416666666667,0.6446472738875104,0.05216660010645381,50.49583333333334,0.1589199470394251,0,0,741,239,0,679,309,0,9,1007,1,0,0,0,762,217,0,530,448,0,6,1013,0,0
19,5.8270833333333325,0.49462329564178864,0.053521802411104706,56.2625,0.16317289062721843,5.282291666666667,0.7038877724312737,0.05081796215687695,44.563541666666666,0.16762807553976747,0,0,467,497,0,316,657,0,2,1019,0,0,0,0,245,739,0,156,837,0,1,1023,0,0
20,5.752083333333333,0.553362506262944,0.0542067159635737,56.02916666666667,0.1647033750180209,5.536458333333334,0.5424280873471672,0.05346094758481809,51.16354166666667,0.16532612119780765,0,0,842,146,0,675,284,0,12,1004,0,0,0,0,803,184,0,690,281,0,6,1013,0,0
21,5.414583333333335,0.6192263589158873,0.05224973418326856,47.795833333333334,0.16397922476971838,5.742708333333334,0.5329530451640058,0.05390562097056505,74.21770833333333,0.1790645817198662,0,0,336,652,0,193,790,0,1,1023,0,0,0,0,275,707,0,91,915,0,5,1018,1,0
22,5.3812500000000005,0.37944113953892117,0.05949366796372349,46.216666666666676,0.1618342719093645,5.119791666666667,0.35670598998226166,0.05985732457732768,43.67604166666666,0.1860872767593405,0,0,93,905,0,31,978,0,0,1024,0,0,0,0,71,930,0,2,1019,0,0,1011,9,0
23,5.01875,0.5080346289475979,0.05892556509887896,42.24583333333334,0.1909293542930184,4.835416666666667,0.3625758885276388,0.06671547692335798,38.44791666666667,0.18497402478334266,0,0,102,900,0,36,980,0,1,1023,0,0,0,0,91,910,0,8,1012,0,0,1023,0,0
24,5.097916666666667,0.5680908044552792,0.05983919423477113,43.46666666666667,0.17927731482993542,4.292708333333334,0.23138942038643012,0.07403898184965359,29.784374999999997,0.20856382176181398,0,0,83,925,0,31,987,0,0,1024,0,0,0,0,5,1016,0,1,1022,0,0,1024,0,0
25,5.305208333333334,0.6508543931028793,0.05120085719768545,46.873958333333334,0.17209250137473292,4.85,0.7331000672674042,0.0542067159635737,37.99583333333333,0.1879376555848663,0,0,200,762,0,106,881,0,0,1024,0,0,0,0,136,875,0,104,912,0,2,1022,0,0
26,5.682291666666666,0.3965078570486252,0.05745242597140699,51.896875,0.1552374632211232,5.041666666666666,0.05519438679698608,0.0695658660711,41.70208333333333,0.18620903060093813,0,0,105,902,0,27,989,0,0,1022,2,0,0,0,23,991,0,1,1023,0,0,1014,7,0
27,4.296875,0.3206310899099344,0.07158001059420617,29.563541666666666,0.1963246495848159,4.477083333333334,0.20595702456530682,0.07406828681096324,32.75833333333333,0.19695556772655576,0,0,8,1011,0,0,1024,0,0,1013,6,0,0,0,6,1016,0,1,1022,0,0,1023,1,0
